"Checkout CustomField","Checkout CustomField"
"Enable Checkout Custom Field","Enable Checkout Custom Field"
"Custom Field Title","Custom Field Title"
"Title show in order detail, pdf, email....","Title show in order detail, pdf, email...."
"Show in PDF Documents","Show in PDF Documents"
"Show in Email","Show in Email"
'Checkout CustomField','Checkout CustomField'
'General Information','General Information'
'Label/Option','Label/Option'
'Advanced Attribute Properties','Advanced Attribute Properties'
'Attribute Code','Attribute Code'
'This is used internally. Make sure you don\'t use spaces or more than %1 symbols.','This is used internally. Make sure you don\'t use spaces or more than %1 symbols.'
'Sort Order','Sort Order'
'Default Value','Default Value'
'Input Validation for Store Owner','Input Validation for Store Owner'
'Frontend Visibility','Frontend Visibility'
'Backend Visibility','Backend Visibility'
'Show in Checkout','Show in Checkout'
'Add to Order Grid','Add to Order Grid'
'Add to Order Detail','Add to Order Detail'
'Add to PDF Documents','Add to PDF Documents'
'Add to Email','Add to Email'
'Attribute Properties','Attribute Properties'
'Input Type for Store Owner','Input Type for Store Owner'
'Values Required','Values Required'
'This attribute no longer exists.','This attribute no longer exists.'
'The attribute %1 have been deleted.','The attribute %1 have been deleted.'
'Edit Checkout Field','Edit Checkout Field'
'New Checkout Field','New Checkout Field'
'Manage Checkout Custom Fields','Manage Checkout Custom Fields'
'Attribute code "%1" is invalid. Please use only letters (a-z), ','Attribute code "%1" is invalid. Please use only letters (a-z), '
'numbers (0-9) or underscore(_) in this field, first character should be a letter.','numbers (0-9) or underscore(_) in this field, first character should be a letter.'
'You saved the checkout attribute.','You saved the checkout attribute.'
'An attribute with this code already exists.','An attribute with this code already exists.'
'An attribute with the same code (%1) already exists.','An attribute with the same code (%1) already exists.'
'Decimal Number','Decimal Number'
'Integer Number','Integer Number'
'Email','Email'
'URL','URL'
'Letters','Letters'
'Letters (a-z, A-Z) or Numbers (0-9)','Letters (a-z, A-Z) or Numbers (0-9)'
'Text Field','Text Field'
'Text Area','Text Area'
'Date & Time','Date & Time'
'Yes/No','Yes/No'
'Checkbox','Checkbox'
'Radio Button','Radio Button'
'Shipping','Shipping'
'Review & Payment','Review & Payment'
'Always','Always'
'Show when check in columns','Show when check in columns'
'Please select','Please select'
'Delivery Date Information','Delivery Date Information'
